end,user,0.0019792390521615744
firing,line,0.6428853869438171
game,plan,0.0019033028511330485
application,form,0.0014315028674900532
snail,mail,0.0060343435034155846
web,site,0.0021214252337813377
flea,market,0.9260300397872925
grandfather,clock,0.2985921800136566
diamond,wedding,0.0030877566896378994
guilt,trip,0.06736604124307632
silver,spoon,0.0035409117117524147
rush,hour,0.0016502778744325042
china,clay,0.9604041576385498
cocktail,dress,0.0018561657052487135
mailing,list,0.002307093469426036
spelling,bee,0.9439088106155396
public,service,0.0014127391623333097
head,teacher,0.001670839381404221
video,game,0.002610144903883338
spinning,jenny,0.0029078808147460222
think,tank,0.8061483502388
cash,cow,0.9044007062911987
swan,song,0.9557055234909058
monkey,business,0.008963541127741337
snake,oil,0.002948750974610448
smoking,gun,0.013540323823690414
balance,sheet,0.002881293185055256
zebra,crossing,0.05869163200259209
cutting,edge,0.919411838054657
radio,station,0.00163524248637259
search,engine,0.0018488061614334583
shrinking,violet,0.7374927997589111
face,value,0.9729735255241394
human,being,0.001688578282482922
sacred,cow,0.002161304699257016
number,crunching,0.0019043656066060066
silver,screen,0.00371539150364697
melting,pot,0.041272204369306564
kangaroo,court,0.9715253114700317
ground,floor,0.0014049734454602003
rat,run,0.9559457898139954
law,firm,0.00315351621247828
polo,shirt,0.0018111279932782054
ivory,tower,0.003278026357293129
lip,service,0.07765328884124756
health,insurance,0.0022001476027071476
couch,potato,0.8998570442199707
chain,reaction,0.4199519753456116
silver,bullet,0.007187609560787678
graduate,student,0.0014760582707822323
cloud,nine,0.0030932468362152576
front,runner,0.002663461258634925
agony,aunt,0.1493709832429886
rock,bottom,0.03165530413389206
acid,test,0.0014588645426556468
climate,change,0.0018820998957380652
lotus,position,0.0018692323938012123
sitting,duck,0.8722130656242371
car,park,0.004092908464372158
gold,mine,0.0036863009445369244
gravy,train,0.0023487850558012724
case,study,0.001907983561977744
night,owl,0.0273000318557024
pecking,order,0.0016724190209060907
eye,candy,0.9516707062721252
nest,egg,0.005669130943715572
role,model,0.3289661109447479
fashion,plate,0.0038957386277616024
crocodile,tear,0.011352821253240108
rat,race,0.8762401342391968
crash,course,0.9360666275024414
rocket,science,0.0016361487796530128
memory,lane,0.16025319695472717
smoking,jacket,0.0020151399075984955
interest,rate,0.00212436867877841
engine,room,0.0017658266006037593
blame,game,0.8907999396324158
brass,ring,0.0023051865864545107
panda,car,0.002290639327839017
research,project,0.0014971764758229256
call,centre,0.0020760856568813324
graveyard,shift,0.012770027853548527
credit,card,0.002051875926554203
cheat,sheet,0.0058489092625677586
parking,lot,0.0016598586225882173
fine,line,0.9477389454841614
brick,wall,0.0016327983466908336
speed,limit,0.0016817395808175206
swimming,pool,0.002166315447539091
bank,account,0.0034189082216471434
