How did serfdom develop in and then leave Russia ?,DESC:manner,DESC
What films featured the character Popeye Doyle ?,ENTY:cremat,ENTY
How can I find a list of celebrities ' real names ?,DESC:manner,DESC
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY:animal,ENTY
What is the full form of .com ?,DESC:def,DESC
What contemptible scoundrel stole the cork from my lunch ?,HUM:ind,HUM
What team did baseball 's St. Louis Browns become ?,HUM:gr,HUM
What is the oldest profession ?,ENTY:other,ENTY
What are liver enzymes ?,DESC:def,DESC
Name the scar-faced bounty hunter of The Old West .,HUM:ind,HUM
When was Ozzy Osbourne born ?,NUM:date,NUM
Why do heavier objects travel downhill faster ?,DESC:reason,DESC
Who was The Pride of the Yankees ?,HUM:ind,HUM
Who killed Gandhi ?,HUM:ind,HUM
What is considered the costliest disaster the insurance industry has ever faced ?,LOC:other,LOC
What sprawling U.S. state boasts the most airports ?,LOC:other,LOC
What did the only repealed amendment to the U.S. Constitution deal with ?,DESC:desc,DESC
How many Jews were executed in concentration camps during WWII ?,NUM:count,NUM
What is `` Nine Inch Nails '' ?,DESC:def,DESC
What is an annotated bibliography ?,DESC:def,DESC
What is the date of Boxing Day ?,NUM:date,NUM
What articles of clothing are tokens in Monopoly ?,ENTY:other,ENTY
Name 11 famous martyrs .,HUM:ind,HUM
What 's the Olympic motto ?,DESC:desc,DESC
What is the origin of the name ` Scarlett ' ?,DESC:desc,DESC
What 's the second-most-used vowel in English ?,NUM:period,NUM
Who was the inventor of silly putty ?,HUM:ind,HUM
What is the highest waterfall in the United States ?,LOC:other,LOC
Name a golf course in Myrtle Beach .,LOC:other,LOC
Which two states enclose Chesapeake Bay ?,LOC:country,LOC
What does the abbreviation AIDS stand for ?,ABBR:exp,ABBR
What does a spermologer collect ?,ENTY:other,ENTY
How many points make up a perfect fivepin bowling score ?,NUM:count,NUM
Which company that manufactures video-game hardware sells the `` super system '' ?,HUM:gr,HUM
How many Community Chest cards are there in Monopoly ?,NUM:count,NUM
What do Mormons believe ?,DESC:desc,DESC
When did the neanderthal man live ?,NUM:date,NUM
In what religion was Isis the nature goddess ?,HUM:gr,HUM
Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOC:other,LOC
What relative of the racoon is sometimes known as the cat-bear ?,ENTY:animal,ENTY
How can I register my website in Yahoo for free ?,DESC:manner,DESC
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY:other,ENTY
How many people in the world speak French ?,NUM:count,NUM
How many inches over six feet is the Venus de Milo ?,NUM:count,NUM
How do they find or choose witnesses to an execution ?,DESC:manner,DESC
What 1920s cowboy star rode Tony the Wonder Horse ?,HUM:ind,HUM
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTY:food,ENTY
What ISPs exist in the Caribbean ?,HUM:gr,HUM
How do you ask a total stranger out on a date ?,DESC:manner,DESC
What weapon is the mythological character Apollo most proficient with ?,ENTY:other,ENTY
What country do the Galapagos Islands belong to ?,LOC:country,LOC
What is ethology ?,DESC:def,DESC
Who was the prophet of the Muslim people ?,HUM:ind,HUM
Where did the term `` 86ed '' come from ?,DESC:desc,DESC
Who is Snoopy 's arch-enemy ?,HUM:ind,HUM
What is the nature of learning ?,DESC:desc,DESC
What 's the only color Johnny Cash wears on stage ?,ENTY:color,ENTY
What 's the term for a young fox ?,ENTY:termeq,ENTY
What U.S. state lived under six flags ?,LOC:state,LOC
What is the Kashmir issue ?,DESC:def,DESC
Where is the Loop ?,LOC:other,LOC
What does `` extended definition '' mean and how would one write a paper on it ?,DESC:def,DESC
What country 's capital is Tirana ?,LOC:country,LOC
What is titanium ?,DESC:def,DESC
Who do Herb and Tootsie live next door to ?,HUM:ind,HUM
Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOC:city,LOC
What is a caldera ?,DESC:def,DESC
Why do people get calluses ?,DESC:reason,DESC
What are the names of the tourist attractions in Reims ?,LOC:other,LOC
What are Cushman and Wakefield known for ?,DESC:reason,DESC
What body of water does the Danube River flow into ?,LOC:other,LOC
Who is the founder of Scientology ?,HUM:ind,HUM
What does the six-footed Musca domestica become when it enters a house ?,ENTY:other,ENTY
What is the history of skateboarding ?,DESC:desc,DESC
Who starred in Singing in the Rain and The Singing Nun ?,HUM:ind,HUM
How do I make fuel bricks from recycled newspaper ?,DESC:manner,DESC
What 19th-century painter died in the Marquesas Islands ?,HUM:ind,HUM
The corpus callosum is in what part of the body ?,LOC:other,LOC
How do I log on to home page at Headquarters U.S. European Command ?,DESC:manner,DESC
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",LOC:country,LOC
What is Nebraska 's most valuable resource ?,ENTY:other,ENTY
How many species of the Great White shark are there ?,NUM:count,NUM
What is the origin of head lice ?,DESC:desc,DESC
What is the nickname for the state of Mississippi ?,LOC:other,LOC
What was the first domesticated bird ?,ENTY:animal,ENTY
How many villi are found in the small intestine ?,NUM:count,NUM
What country did King Wenceslas rule ?,LOC:country,LOC
What is a fear of shadows ?,ENTY:dismed,ENTY
Who were the five Marx brothers ?,HUM:ind,HUM
In which year was New Zealand excluded from the ANZUS alliance ?,NUM:date,NUM
When did CNN begin broadcasting ?,NUM:date,NUM
What causes the body to shiver in cold temperatures ?,DESC:reason,DESC
What are bear and bull markets ?,DESC:def,DESC
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTY:cremat,ENTY
What is `` dew point '' ?,DESC:def,DESC
What is the meaning of Jesus ?,DESC:def,DESC
What company 's logo is a `` W '' in a circle ?,HUM:gr,HUM
What is the definition of a cascade ?,DESC:def,DESC
When did Rococo painting and architecture flourish ?,NUM:date,NUM
What country 's national passenger rail system is called Via ?,LOC:country,LOC
Who invented Make-up ?,HUM:ind,HUM
What is the origin of the word `` attic '' ?,DESC:desc,DESC
What did Delilah do to Samson 's hair ?,DESC:desc,DESC
What kind of animals were in the Paleozoic era ?,ENTY:animal,ENTY
Which of the following was Rhodes Scholar ?,HUM:ind,HUM
Who comprised the now-defunct comic book team known as the Champions ?,HUM:ind,HUM
How do you make a paintball ?,DESC:manner,DESC
What U.S. state is Fort Knox in ?,LOC:state,LOC
What is a female rabbit called ?,ENTY:animal,ENTY
Where is the highest point in Japan ?,LOC:other,LOC
Where do chihuahuas come from ?,DESC:desc,DESC
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOC:other,LOC
What are the world 's four oceans ?,LOC:other,LOC
What 's the only work by Michelangelo that bears his signature ?,ENTY:cremat,ENTY
What is the largest snake in the world ?,ENTY:animal,ENTY
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,ENTY:cremat,ENTY
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOC:other,LOC
How much money does a back injury lawsuit get ?,NUM:money,NUM
What 's the common name for acetylsalicylic acid ?,ENTY:termeq,ENTY
What does the Georgetown `` Hoya '' mean ?,DESC:def,DESC
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,LOC:other,LOC
Which two products use a tiger as their symbol ?,ENTY:food,ENTY
How is the election of a new Pope announced to the world ?,DESC:manner,DESC
How long does it take for your blood to make one complete trip through the body ?,NUM:period,NUM
How do chickens have baby chicks ?,DESC:manner,DESC
What is the historical relationship of Catholic Church and bingo ?,DESC:desc,DESC
How was the element calcium named ?,DESC:manner,DESC
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,HUM:ind,HUM
What piano company claims its product is the `` Instrument of the immortals '' ?,HUM:gr,HUM
When did the Bounty mutiny take place ?,NUM:date,NUM
What novel inspired the movie BladeRunner ?,ENTY:cremat,ENTY
What is a transistor ?,DESC:def,DESC
What is a film starring Jude Law ?,ENTY:cremat,ENTY
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,ENTY:animal,ENTY
What are the most common elements in the Earth 's crust ?,ENTY:food,ENTY
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUM:money,NUM
What actress has received the most Oscar nominations ?,HUM:ind,HUM
What are equity securities ?,DESC:def,DESC
What is gymnophobia ?,DESC:def,DESC
How many years do fossils take to form ?,NUM:count,NUM
Where is the Orinoco ?,LOC:other,LOC
What was the name of the `` Little Rascals '' dog ?,ENTY:animal,ENTY
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",LOC:city,LOC
What Broadway musical was inspired by Cervantes 's Don Quixote ?,ENTY:cremat,ENTY
"What is the origin of the word , JJ .",DESC:desc,DESC
How many hostages were killed in the Entebbe raid ?,NUM:count,NUM
How you can raise your IQ ?,DESC:manner,DESC
What does INRI stand for when used on Jesus ' cross ?,ABBR:exp,ABBR
Who produces Spumante ?,HUM:ind,HUM
Who earns their money the hard way ?,HUM:ind,HUM
Who founded the People 's Temple Commune ?,HUM:ind,HUM
What athlete makes the most money from sports merchandise sales ?,HUM:ind,HUM
How many bends are there in a standard paper clip ?,NUM:count,NUM
Who discovered electricity ?,HUM:ind,HUM
What part of your body contains the corpus callosum ?,ENTY:other,ENTY
Who was the first American in space ?,HUM:ind,HUM
What two South American countries do n't border Brazil ?,LOC:country,LOC
What album put The Beatles on the cover of Time in 1967 ?,ENTY:cremat,ENTY
"What poem contains the line , `` grow old with me the best is yet to be '' .",ENTY:cremat,ENTY
What is a dental root canal ?,DESC:def,DESC
What war did the Wanna-Go-Home Riots occur after ?,NUM:date,NUM
What is the busiest air travel season ?,NUM:date,NUM
What 's the colored part of the eye called ?,ENTY:termeq,ENTY
What are hook worms ?,DESC:def,DESC
Where is the Rose Bowl played ?,LOC:other,LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,HUM:gr,HUM
Who is the mayor of Marbella ?,HUM:ind,HUM
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",LOC:other,LOC
In what year did Thatcher become prime minister ?,NUM:date,NUM
How many months does it take the moon to revolve around the Earth ?,NUM:count,NUM
Where are the 49 steps ?,LOC:other,LOC
In what year was De Gaulle elected president of France ?,NUM:date,NUM
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUM:ind,HUM
Who directed `` Jaws '' ?,HUM:ind,HUM
On what T.V. show could Tom Terrific be found ?,ENTY:cremat,ENTY
What Indian tribe is F Troop perpetually doing battle with ?,HUM:gr,HUM
Where did Indian Pudding come from ?,DESC:desc,DESC
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC:reason,DESC
How many colonies were involved in the American Revolution ?,NUM:count,NUM
What is the name of the city that Maurizio Pellegrin lives in ?,LOC:city,LOC
Where can I find pictorial directions on how to build a very simple treehouse ?,LOC:other,LOC
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",ENTY:other,ENTY
What is the name of the managing director of Apricot Computer ?,HUM:ind,HUM
What is the occupation of Nicholas Cage ?,HUM:ind,HUM
Why do horseshoes bring luck ?,DESC:reason,DESC
"What is the 401 , K , plan ?",DESC:def,DESC
What causes pneumonia ?,DESC:reason,DESC
What are the three winter months in the southern hemisphere ?,NUM:date,NUM
What does gringo mean ?,DESC:def,DESC
What country contains Africa 's northernmost point ?,LOC:country,LOC
What therapy attempts to elicit the `` primal scream '' ?,ENTY:other,ENTY
Where is the Kalahari desert ?,LOC:other,LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUM:gr,HUM
What city is sometimes called Gotham ?,LOC:city,LOC
What dangles over the tongue from the palate ?,ENTY:other,ENTY
Who created Dennis the Menace ?,HUM:ind,HUM
What dummy received an honorary degree from Northwestern University ?,HUM:ind,HUM
When was the first Wall Street Journal published ?,NUM:date,NUM
What countries have the largest areas of forest ?,LOC:country,LOC
How do I start a web based business ?,DESC:manner,DESC
Name Alvin 's brothers,HUM:ind,HUM
What is Eagle 's syndrome styloid process ?,DESC:def,DESC
How did Jayne Mansfield die ?,DESC:manner,DESC
When did the royal wedding of Prince Andrew and Fergie take place ?,NUM:date,NUM
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,HUM:ind,HUM
What explorer was nicknamed Iberia 's Pilot ?,HUM:ind,HUM
CNN began broadcasting in what year ?,NUM:date,NUM
What is a ball that hits the foul pole called ?,ENTY:termeq,ENTY
What makes hamburgers taste like steakburgers ?,DESC:reason,DESC
Which company created the Internet browser Mosaic ?,HUM:gr,HUM
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTY:other,ENTY
What was the education system in the 1960 's ?,ENTY:other,ENTY
What South American city has the world 's highest commercial landing field ?,LOC:city,LOC
How can I find out which cities have cable-modem access ?,DESC:manner,DESC
What is Betsy Ross famous for ?,DESC:reason,DESC
How many species of sharks are there ?,NUM:count,NUM
What is `` snoogans '' ?,DESC:def,DESC
How many people are there in the world ?,NUM:count,NUM
What shrubs can be planted that will be safe from deer ?,ENTY:animal,ENTY
What organization 's offices were broken into at Watergate in 1972 ?,HUM:gr,HUM
What is the design of the ship Titanic ?,DESC:desc,DESC
What does S.O.S. stand for ?,ABBR:exp,ABBR
Name a technique widely used to detect birth defects ?,ENTY:other,ENTY
What is the daily requirement of folic acid for an expectant mother ?,DESC:desc,DESC
What is the `` 7-minute cigarette '' ?,DESC:def,DESC
What four forms does gold occur in ?,ENTY:other,ENTY
What is the acreage of the Chappellet vineyard ?,NUM:count,NUM
How do you correctly say the word ` qigong ' ?,DESC:manner,DESC
When did beethoven die ?,NUM:date,NUM
How much does a new railroad coal car cost ?,NUM:money,NUM
What two European countries entered the War of American Independence against the British ?,LOC:country,LOC
What is the filmmakers collabrative ?,DESC:def,DESC
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,HUM:ind,HUM
What caused Harry Houdini 's death ?,DESC:reason,DESC
"Who was the mother of the man who would not be king , the duke of Windsor ?",HUM:ind,HUM
How many revolutions does a standard LP make in three minutes ?,NUM:count,NUM
What is the name of the tallest mountain in the world ?,LOC:other,LOC
Where can I find a review of Nightmare on Elm Street in a film journal ?,LOC:other,LOC
What 's the slowest Olympic swimming stroke ?,ENTY:other,ENTY
What was the name of the first Russian astronaut to do a spacewalk ?,HUM:ind,HUM
What disease is transmitted by the Anopheles mosquito ?,ENTY:dismed,ENTY
What rum is so `` mixable '' it is a one-brand bar ?,ENTY:food,ENTY
How many South American countries have the letter Z in their names ?,NUM:count,NUM
